id,supplier_name,supplier_email
f3332708-df62-41d2-9c61-7751ad1334c6,TechDistro SAS,ventas@techdistro.com
fbf7a60f-d524-45e8-8a86-cfd7483bdc21,Accesorios Total,contacto@accesoriostotal.com
e6ff22a6-5023-42a5-8c47-86cb967f2d0c,MueblesYa,info@mueblesya.com
d3289a7d-a43e-47d0-91d1-0ed5b0f9fe05,GamerZone,sales@gamerzone.co
b3ebbddc-8115-40e6-b779-64b7f04adfa4,IluminaTodo,ventas@iluminatodo.co
25425831-0b5d-42ae-b84d-7240293d6a06,SoundWave Ltd,contact@soundwave.com
72f64624-c899-4ee5-aa67-2c236d1b6f82,Cables & Conectores,info@cablesconectores.com
c5b656bf-b637-40d5-8055-46048115f69e,Oficina Digital,sales@oficinadigital.com
f283a79f-40de-4449-82d4-5e96a6ded3a9,Papeleria Mundial,pedidos@papeleriamundial.com
d809ff1b-c638-4a0e-b398-2314fed3e88c,ElectroHogar,ventas@electrohogar.com
